Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
"Ráfagas de más de 100 km/h causa estragos en San Vicente, Misiones",La región de San Vicente en Misiones sufrió los efectos de una intensa ráfagas de más de 100 km/h. El incidente obligando a evacuar a residentes de la zona. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.,Ráfagas de más de 100 km/h,-27.029465,-54.436559,21/12/2007
"Situación crítica por Precipitación de granizo en Chilecito, La Rioja",La región de Chilecito en La Rioja sufrió los efectos de una intensa precipitación de granizo. El incidente con un saldo inicial de varias personas heridas. Especialistas evalúan los daños para iniciar las reparaciones necesarias.,Precipitación de granizo,-29.19831,-67.533537,10/10/2020
"Situación crítica por Lluvia de hielo en Mendoza, Mendoza","Una lluvia de hielo de gran magnitud afectó a Mendoza, Mendoza. El incidente provocando cortes de energía y problemas en el suministro de agua. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Lluvia de hielo,-32.895182,-68.84302,15/11/2000
"Equipos de emergencia atienden Inundación repentina en Godoy Cruz, Mendoza",La región de Godoy Cruz en Mendoza sufrió los efectos de una intensa inundación repentina. El incidente destruyendo viviendas y dejando a familias evacuadas. Especialistas evalúan los daños para iniciar las reparaciones necesarias.,Inundación repentina,-32.934672,-68.880074,26/09/2012
Habitantes de San Carlos de Bariloche afrontan Derrumbe de cerro,La región de San Carlos de Bariloche en Río Negro sufrió los efectos de una intensa derrumbe de cerro. El incidente generando caos en el transporte público y privado. Se han habilitado refugios temporales para las familias afectadas.,Derrumbe de cerro,-41.161771,-71.334277,8/4/2019
"Equipos de emergencia atienden Lluvia torrencial en Chimbas, San Juan","Una lluvia torrencial de gran magnitud afectó a Chimbas, San Juan. El incidente bloqueando las principales vías de acceso. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Lluvia torrencial,-31.480401,-68.48767,28/12/2004
Equipos de emergencia atienden Calor extremo en Palpalá,"Una calor extremo de gran magnitud afectó a Palpalá, Jujuy. El incidente dejando un rastro de destrucción importante. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Calor extremo,-24.231944,-65.20929,9/11/2006
Equipos de emergencia atienden Nevazón en Concepción,La región de Concepción en Tucumán sufrió los efectos de una intensa nevazón. El incidente provocando la activación de protocolos de emergencia. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.,Nevazón,-27.36334,-65.55839,28/06/2009
Anegamiento masivo deja múltiples daños en Perico,La región de Perico en Jujuy sufrió los efectos de una intensa anegamiento masivo. El incidente obligando a evacuar a residentes de la zona. Bomberos y personal de seguridad trabajan intensamente en la zona.,Anegamiento masivo,-24.351881,-65.112406,16/02/2008
"25 de Mayo en alerta por Inundación por lluvias intensas, Buenos Aires","Severa inundación por lluvias intensas impactó en la localidad de 25 de Mayo, Buenos Aires. El incidente bloqueando las principales vías de acceso. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Inundación por lluvias intensas,-35.397014,-60.174991,8/6/2013
